Transaction Date,Month,Buyer First Name,Buyer Last Name,Full Name,Buyer Location,Buyer Date of Birth,Age,Age Category,Payment Method,Quantity Purchased,Product Code,Biscuit Brand,Cost,Unit Price,Revenue,Total Cost of Goods,Profit,Product Price Category,Sales Representative,Gender
2024-03-06,Mar,Logan,Jones,Logan Jones,New York,1990-05-08,35,31-50,Credit Card,129,Pro08,Peanut Butter Bites,5,7,903,645,258,Low Price,Tracy Lee,Male
2024-04-12,Apr,Terri,Vargas,Terri Vargas,San Jose,1969-02-26,56,50-70,Mobile Payment,386,Pro08,Peanut Butter Bites,5,7,2702,1930,772,Low Price,Sara Robertson,Male
2024-05-15,May,Katie,Morris,Katie Morris,Philadelphia,1948-05-24,77,70above,Credit Card,99,Pro10,Vanilla Wafers,18,36,3564,1782,1782,High Price,Travis Doyle,Male
2024-02-12,Feb,Matthew,King,Matthew King,Philadelphia,1962-11-17,62,50-70,Debit Card,187,Pro01,Butter Crunch,10,11,2057,1870,187,High Price,Joseph Hill,Male
2024-04-29,Apr,Daniel,Humphrey,Daniel Humphrey,Los Angeles,1958-06-24,67,50-70,Cash,286,Pro10,Vanilla Wafers,18,36,10296,5148,5148,High Price,Tracy Lee,Male
2024-02-09,Feb,Heather,Carson,Heather Carson,San Antonio,1995-07-05,30,11-30,Mobile Payment,123,Pro09,Shortbread,10,45,5535,1230,4305,High Price,Sara Robertson,Male
2024-02-16,Feb,Alexandria,Williams,Alexandria Williams,Chicago,1979-09-25,45,31-50,Credit Card,497,Pro07,Oatmeal Cookies,19,23,11431,9443,1988,High Price,Travis Doyle,Male
2024-07-16,Jul,Lee,Thompson,Lee Thompson,New York,1952-02-28,73,70above,Credit Card,145,Pro10,Vanilla Wafers,18,36,5220,2610,2610,High Price,Joseph Hill,Male
2024-01-06,Jan,Kristin,Taylor,Kristin Taylor,Dallas,2005-07-22,20,11-30,Credit Card,486,Pro08,Peanut Butter Bites,5,7,3402,2430,972,Low Price,Joseph Hill,Male
2024-07-23,Jul,Amy,Reyes,Amy Reyes,Philadelphia,1991-03-30,34,31-50,Mobile Payment,449,Pro06,Lemon Crisps,7,9,4041,3143,898,Low Price,April Watkins,Male
2024-04-04,Apr,Shawn,Dyer,Shawn Dyer,New York,1982-04-18,43,31-50,Cash,61,Pro05,Ginger Snaps,14,28,1708,854,854,High Price,Travis Doyle,Male
2024-04-25,Apr,Eric,Blanchard,Eric Blanchard,Dallas,1946-06-29,79,70above,Mobile Payment,12,Pro02,Caramel Biscuits,18,22,264,216,48,High Price,Tracy Lee,Male
2024-01-14,Jan,Kelly,Smith,Kelly Smith,Philadelphia,2006-06-09,19,11-30,Mobile Payment,215,Pro07,Oatmeal Cookies,19,23,4945,4085,860,High Price,Sara Robertson,Male
2024-02-18,Feb,Larry,Young,Larry Young,Dallas,1974-05-21,51,50-70,Mobile Payment,335,Pro10,Vanilla Wafers,18,36,12060,6030,6030,High Price,Travis Doyle,Male
2024-01-12,Jan,Kevin,Hunter,Kevin Hunter,Dallas,2003-04-11,22,11-30,Mobile Payment,58,Pro07,Oatmeal Cookies,19,23,1334,1102,232,High Price,Joseph Hill,Male
2024-03-10,Mar,Patricia,Marshall,Patricia Marshall,Philadelphia,1987-04-26,38,31-50,Mobile Payment,374,Pro02,Caramel Biscuits,18,22,8228,6732,1496,High Price,Tracy Lee,Male
2024-02-01,Feb,Angela,Warren,Angela Warren,San Jose,1974-02-23,51,50-70,Mobile Payment,33,Pro03,Choco Delight,3,5,165,99,66,Low Price,Sara Robertson,Male
2024-02-09,Feb,Jeffery,Hunt,Jeffery Hunt,San Antonio,1951-02-20,74,70above,Debit Card,400,Pro02,Caramel Biscuits,18,22,8800,7200,1600,High Price,Travis Doyle,Male
2024-07-21,Jul,David,Ochoa,David Ochoa,Dallas,1998-09-09,26,11-30,Credit Card,467,Pro08,Peanut Butter Bites,5,7,3269,2335,934,Low Price,Joseph Hill,Male
2024-06-30,Jun,James,Garrett,James Garrett,New York,1982-08-16,43,31-50,Mobile Payment,46,Pro02,Caramel Biscuits,18,22,1012,828,184,High Price,Joseph Hill,Male
2024-01-03,Jan,Lisa,Cook,Lisa Cook,New York,1970-01-05,55,50-70,Debit Card,470,Pro09,Shortbread,10,45,21150,4700,16450,High Price,April Watkins,Male
2024-04-23,Apr,Timothy,Price,Timothy Price,San Jose,1953-10-12,71,70above,Credit Card,43,Pro05,Ginger Snaps,14,28,1204,602,602,High Price,Travis Doyle,Male
2024-04-04,Apr,Jose,Jackson,Jose Jackson,Philadelphia,1950-07-09,75,70above,Cash,216,Pro02,Caramel Biscuits,18,22,4752,3888,864,High Price,Tracy Lee,Male
2024-05-05,May,Rodney,Hill,Rodney Hill,Philadelphia,1963-05-30,62,50-70,Mobile Payment,18,Pro02,Caramel Biscuits,18,22,396,324,72,High Price,Sara Robertson,Male
2024-03-10,Mar,Nina,Fischer,Nina Fischer,San Jose,1955-01-12,70,50-70,Debit Card,219,Pro09,Shortbread,10,45,9855,2190,7665,High Price,Travis Doyle,Male
2024-06-26,Jun,Joel,May,Joel May,San Jose,1959-02-14,66,50-70,Mobile Payment,455,Pro01,Butter Crunch,10,11,5005,4550,455,High Price,Joseph Hill,Male
2024-03-15,Mar,Alison,Wu,Alison Wu,New York,1993-01-21,32,31-50,Cash,142,Pro03,Choco Delight,3,5,710,426,284,Low Price,Tracy Lee,Male
2024-06-13,Jun,Tiffany,Fuentes,Tiffany Fuentes,Los Angeles,1950-12-17,74,70above,Mobile Payment,317,Pro04,Cinnamon Swirls,10,14,4438,3170,1268,High Price,Sara Robertson,Male
2024-01-17,Jan,Mariah,Johnson,Mariah Johnson,Los Angeles,1977-07-18,48,31-50,Cash,138,Pro02,Caramel Biscuits,18,22,3036,2484,552,High Price,Travis Doyle,Male
2024-01-29,Jan,Aaron,Hayden,Aaron Hayden,San Antonio,1969-04-07,56,50-70,Mobile Payment,187,Pro03,Choco Delight,3,5,935,561,374,Low Price,Joseph Hill,Male
2024-04-18,Apr,Joshua,Nash,Joshua Nash,New York,1946-12-19,78,70above,Credit Card,348,Pro08,Peanut Butter Bites,5,7,2436,1740,696,Low Price,Joseph Hill,Male
2024-07-04,Jul,Keith,Pineda,Keith Pineda,San Antonio,1971-04-06,54,50-70,Debit Card,419,Pro04,Cinnamon Swirls,10,14,5866,4190,1676,High Price,April Watkins,Male
2024-03-20,Mar,Wesley,Bush,Wesley Bush,Houston,1996-02-22,29,11-30,Mobile Payment,353,Pro04,Cinnamon Swirls,10,14,4942,3530,1412,High Price,Travis Doyle,Male
2024-07-26,Jul,Krystal,Moody,Krystal Moody,Chicago,2003-11-03,21,11-30,Debit Card,133,Pro08,Peanut Butter Bites,5,7,931,665,266,Low Price,Tracy Lee,Male
2024-04-21,Apr,Richard,Barr,Richard Barr,San Diego,1955-06-19,70,50-70,Credit Card,76,Pro06,Lemon Crisps,7,9,684,532,152,Low Price,Sara Robertson,Male
2024-02-14,Feb,Samuel,Dennis,Samuel Dennis,San Jose,1966-04-14,59,50-70,Debit Card,192,Pro01,Butter Crunch,10,11,2112,1920,192,High Price,Travis Doyle,Male
2024-02-15,Feb,James,Johnson,James Johnson,San Antonio,1973-08-20,52,50-70,Mobile Payment,60,Pro09,Shortbread,10,45,2700,600,2100,High Price,Joseph Hill,Male
2024-01-05,Jan,Cassandra,Ross,Cassandra Ross,Houston,1969-11-27,55,50-70,Cash,348,Pro10,Vanilla Wafers,18,36,12528,6264,6264,High Price,Tracy Lee,Male
2024-03-11,Mar,Teresa,Garcia,Teresa Garcia,San Antonio,1968-10-20,56,50-70,Debit Card,159,Pro07,Oatmeal Cookies,19,23,3657,3021,636,High Price,Sara Robertson,Male
2024-05-21,May,Joseph,Sexton,Joseph Sexton,Houston,1959-01-12,66,50-70,Cash,87,Pro04,Cinnamon Swirls,10,14,1218,870,348,High Price,Travis Doyle,Male
2024-05-06,May,Patrick,Mckinney,Patrick Mckinney,Houston,1985-07-24,40,31-50,Debit Card,253,Pro10,Vanilla Wafers,18,36,9108,4554,4554,High Price,Joseph Hill,Male
2024-03-12,Mar,Rebecca,Calderon,Rebecca Calderon,San Diego,1988-05-26,37,31-50,Credit Card,121,Pro03,Choco Delight,3,5,605,363,242,Low Price,Joseph Hill,Male
2024-07-06,Jul,Brittany,Hall,Brittany Hall,New York,1970-08-12,55,50-70,Mobile Payment,178,Pro02,Caramel Biscuits,18,22,3916,3204,712,High Price,April Watkins,Male
2024-05-08,May,Adam,Hunt,Adam Hunt,Los Angeles,1977-10-07,47,31-50,Cash,457,Pro05,Ginger Snaps,14,28,12796,6398,6398,High Price,Travis Doyle,Male
2024-07-22,Jul,Ronald,Williams,Ronald Williams,Dallas,1979-04-14,46,31-50,Debit Card,348,Pro06,Lemon Crisps,7,9,3132,2436,696,Low Price,Tracy Lee,Male
2024-06-27,Jun,Lori,Sullivan,Lori Sullivan,Los Angeles,1993-04-11,32,31-50,Cash,482,Pro03,Choco Delight,3,5,2410,1446,964,Low Price,Sara Robertson,Male
2024-03-01,Mar,Michael,Yates,Michael Yates,Dallas,1949-11-05,75,70above,Cash,97,Pro03,Choco Delight,3,5,485,291,194,Low Price,Travis Doyle,Male
2024-02-22,Feb,James,Page,James Page,Houston,1973-06-23,52,50-70,Debit Card,258,Pro01,Butter Crunch,10,11,2838,2580,258,High Price,Joseph Hill,Male
2024-03-18,Mar,Timothy,Brandt,Timothy Brandt,Dallas,1981-02-16,44,31-50,Credit Card,443,Pro05,Ginger Snaps,14,28,12404,6202,6202,High Price,Tracy Lee,Male
2024-02-24,Feb,Kelly,Stephens,Kelly Stephens,San Antonio,1955-03-02,70,50-70,Mobile Payment,284,Pro04,Cinnamon Swirls,10,14,3976,2840,1136,High Price,Sara Robertson,Male
2024-01-30,Jan,Eric,Benson,Eric Benson,Houston,1994-06-28,31,31-50,Credit Card,465,Pro08,Peanut Butter Bites,5,7,3255,2325,930,Low Price,Travis Doyle,Male
2024-04-28,Apr,Angelica,Hunter,Angelica Hunter,Chicago,1974-04-10,51,50-70,Credit Card,43,Pro07,Oatmeal Cookies,19,23,989,817,172,High Price,Joseph Hill,Male
2024-06-13,Jun,Nicole,Day,Nicole Day,San Jose,1949-07-11,76,70above,Cash,263,Pro10,Vanilla Wafers,18,36,9468,4734,4734,High Price,Joseph Hill,Male
2024-07-28,Jul,Bianca,Arellano,Bianca Arellano,Dallas,1970-11-25,54,50-70,Mobile Payment,268,Pro02,Caramel Biscuits,18,22,5896,4824,1072,High Price,April Watkins,Male
2024-02-11,Feb,Jeffrey,Yu,Jeffrey Yu,Los Angeles,1968-05-28,57,50-70,Cash,254,Pro02,Caramel Biscuits,18,22,5588,4572,1016,High Price,Travis Doyle,Male
2024-07-09,Jul,Leslie,Conley,Leslie Conley,Los Angeles,1992-08-19,33,31-50,Credit Card,279,Pro09,Shortbread,10,45,12555,2790,9765,High Price,Tracy Lee,Male
2024-05-11,May,Gabrielle,Maxwell,Gabrielle Maxwell,Chicago,1996-08-23,29,11-30,Cash,152,Pro03,Choco Delight,3,5,760,456,304,Low Price,Sara Robertson,Male
2024-02-29,Feb,Vanessa,Aguirre,Vanessa Aguirre,Dallas,1973-08-05,52,50-70,Debit Card,202,Pro02,Caramel Biscuits,18,22,4444,3636,808,High Price,Travis Doyle,Male
2024-03-02,Mar,Steven,Cuevas,Steven Cuevas,Chicago,1961-01-19,64,50-70,Credit Card,159,Pro04,Cinnamon Swirls,10,14,2226,1590,636,High Price,Joseph Hill,Male
2024-06-17,Jun,John,Stark,John Stark,San Jose,1979-08-27,46,31-50,Debit Card,231,Pro07,Oatmeal Cookies,19,23,5313,4389,924,High Price,Tracy Lee,Male
2024-04-06,Apr,Robert,Hernandez,Robert Hernandez,San Antonio,1950-12-14,74,70above,Cash,481,Pro02,Caramel Biscuits,18,22,10582,8658,1924,High Price,Sara Robertson,Male
2024-07-30,Jul,Alexander,Smith,Alexander Smith,San Jose,2006-05-26,19,11-30,Mobile Payment,468,Pro09,Shortbread,10,45,21060,4680,16380,High Price,Travis Doyle,Male
2024-03-23,Mar,Mary,Rodriguez,Mary Rodriguez,Philadelphia,2002-12-10,22,11-30,Credit Card,205,Pro10,Vanilla Wafers,18,36,7380,3690,3690,High Price,Joseph Hill,Female
2024-07-04,Jul,Matthew,Hughes,Matthew Hughes,San Diego,1983-11-02,41,31-50,Debit Card,494,Pro10,Vanilla Wafers,18,36,17784,8892,8892,High Price,Joseph Hill,Male
2024-04-25,Apr,Diana,Martinez,Diana Martinez,Houston,2003-11-27,21,11-30,Mobile Payment,128,Pro10,Vanilla Wafers,18,36,4608,2304,2304,High Price,April Watkins,Male
2024-05-17,May,Catherine,Finley,Catherine Finley,Philadelphia,1954-10-28,70,50-70,Mobile Payment,17,Pro08,Peanut Butter Bites,5,7,119,85,34,Low Price,Travis Doyle,Male
2024-01-30,Jan,Mark,Schmidt,Mark Schmidt,New York,1984-01-12,41,31-50,Cash,142,Pro05,Ginger Snaps,14,28,3976,1988,1988,High Price,Tracy Lee,Male
2024-04-04,Apr,Robert,Hernandez,Robert Hernandez,San Antonio,1999-01-15,26,11-30,Cash,288,Pro10,Vanilla Wafers,18,36,10368,5184,5184,High Price,Sara Robertson,Male
2024-05-30,May,Alexander,Smith,Alexander Smith,San Jose,1997-12-01,27,11-30,Credit Card,303,Pro01,Butter Crunch,10,11,3333,3030,303,High Price,Travis Doyle,Male
2024-07-24,Jul,Mary,Rodriguez,Mary Rodriguez,Philadelphia,1943-12-04,81,70above,Credit Card,365,Pro03,Choco Delight,3,5,1825,1095,730,Low Price,Joseph Hill,Female
2024-02-23,Feb,Matthew,Hughes,Matthew Hughes,San Diego,1969-06-08,56,50-70,Mobile Payment,456,Pro09,Shortbread,10,45,20520,4560,15960,High Price,Tracy Lee,Male
2024-01-02,Jan,Diana,Martinez,Diana Martinez,Houston,1991-05-12,34,31-50,Cash,26,Pro04,Cinnamon Swirls,10,14,364,260,104,High Price,Sara Robertson,Male
2024-06-22,Jun,Frank,Kelly,Frank Kelly,San Jose,1972-12-26,52,50-70,Mobile Payment,228,Pro01,Butter Crunch,10,11,2508,2280,228,High Price,Travis Doyle,Male
2024-07-10,Jul,Mary,Newton,Mary Newton,Philadelphia,1947-04-19,78,70above,Debit Card,58,Pro10,Vanilla Wafers,18,36,2088,1044,1044,High Price,Joseph Hill,Female
2024-06-09,Jun,John,White,John White,Philadelphia,1958-12-06,66,50-70,Credit Card,225,Pro01,Butter Crunch,10,11,2475,2250,225,High Price,Joseph Hill,Male
2024-03-23,Mar,Larry,Figueroa,Larry Figueroa,New York,1970-06-20,55,50-70,Mobile Payment,362,Pro01,Butter Crunch,10,11,3982,3620,362,High Price,April Watkins,Male
2024-04-26,Apr,Jamie,Marsh,Jamie Marsh,Chicago,1965-03-25,60,50-70,Cash,53,Pro02,Caramel Biscuits,18,22,1166,954,212,High Price,Travis Doyle,Male
2024-01-23,Jan,Russell,Butler,Russell Butler,Dallas,1995-05-11,30,11-30,Cash,121,Pro10,Vanilla Wafers,18,36,4356,2178,2178,High Price,Tracy Lee,Male
2024-02-27,Feb,Robert,Hernandez,Robert Hernandez,San Antonio,1976-12-05,48,31-50,Credit Card,476,Pro04,Cinnamon Swirls,10,14,6664,4760,1904,High Price,Sara Robertson,Male
2024-01-31,Jan,Alexander,Smith,Alexander Smith,San Jose,2001-12-20,23,11-30,Debit Card,194,Pro03,Choco Delight,3,5,970,582,388,Low Price,Travis Doyle,Male
2024-01-02,Jan,Mary,Rodriguez,Mary Rodriguez,Philadelphia,1958-07-12,67,50-70,Cash,247,Pro05,Ginger Snaps,14,28,6916,3458,3458,High Price,Joseph Hill,Female
2024-05-28,May,Matthew,Hughes,Matthew Hughes,San Diego,1996-04-29,29,11-30,Credit Card,217,Pro02,Caramel Biscuits,18,22,4774,3906,868,High Price,Tracy Lee,Male
2024-02-09,Feb,Diana,Martinez,Diana Martinez,Houston,1988-12-03,36,31-50,Credit Card,58,Pro03,Choco Delight,3,5,290,174,116,Low Price,Sara Robertson,Male
2024-04-15,Apr,Larry,Mooney,Larry Mooney,San Antonio,1945-01-14,80,70above,Credit Card,401,Pro08,Peanut Butter Bites,5,7,2807,2005,802,Low Price,Travis Doyle,Male
2024-05-14,May,Rachel,Hogan,Rachel Hogan,San Antonio,1965-05-15,60,50-70,Credit Card,324,Pro06,Lemon Crisps,7,9,2916,2268,648,Low Price,Joseph Hill,Male
2024-03-09,Mar,Dawn,Lopez,Dawn Lopez,Phoenix,1967-08-10,58,50-70,Debit Card,287,Pro01,Butter Crunch,10,11,3157,2870,287,High Price,Joseph Hill,Male
2024-07-28,Jul,Patricia,Nunez,Patricia Nunez,San Antonio,1993-01-17,32,31-50,Cash,109,Pro06,Lemon Crisps,7,9,981,763,218,Low Price,April Watkins,Male
2024-04-25,Apr,Joseph,Aguilar,Joseph Aguilar,Houston,1978-10-21,46,31-50,Credit Card,386,Pro01,Butter Crunch,10,11,4246,3860,386,High Price,Travis Doyle,Male
2024-02-08,Feb,Robert,Hernandez,Robert Hernandez,San Antonio,1977-07-04,48,31-50,Mobile Payment,447,Pro08,Peanut Butter Bites,5,7,3129,2235,894,Low Price,Tracy Lee,Male
2024-03-07,Mar,Alexander,Smith,Alexander Smith,San Jose,1978-06-12,47,31-50,Credit Card,135,Pro10,Vanilla Wafers,18,36,4860,2430,2430,High Price,Sara Robertson,Male
2024-06-18,Jun,Mary,Rodriguez,Mary Rodriguez,Philadelphia,1975-03-18,50,31-50,Debit Card,460,Pro03,Choco Delight,3,5,2300,1380,920,Low Price,Travis Doyle,Female
2024-03-18,Mar,Matthew,Hughes,Matthew Hughes,San Diego,1959-04-22,66,50-70,Credit Card,16,Pro06,Lemon Crisps,7,9,144,112,32,Low Price,Joseph Hill,Male
2024-07-24,Jul,Diana,Martinez,Diana Martinez,Houston,1961-08-15,64,50-70,Mobile Payment,482,Pro01,Butter Crunch,10,11,5302,4820,482,High Price,Tracy Lee,Male
2024-04-25,Apr,Tonya,Reyes,Tonya Reyes,New York,1977-12-01,47,31-50,Debit Card,219,Pro03,Choco Delight,3,5,1095,657,438,Low Price,Sara Robertson,Male
2024-02-19,Feb,Anna,Drake,Anna Drake,Philadelphia,1965-06-18,60,50-70,Mobile Payment,190,Pro03,Choco Delight,3,5,950,570,380,Low Price,Travis Doyle,Male
2024-05-03,May,Christie,Pierce,Christie Pierce,Chicago,1984-06-18,41,31-50,Credit Card,190,Pro03,Choco Delight,3,5,950,570,380,Low Price,Joseph Hill,Male
2024-06-14,Jun,Jennifer,Peterson,Jennifer Peterson,Chicago,1962-02-25,63,50-70,Debit Card,150,Pro01,Butter Crunch,10,11,1650,1500,150,High Price,Joseph Hill,Female
2024-01-17,Jan,Nicole,Brooks,Nicole Brooks,San Diego,1982-07-27,43,31-50,Credit Card,446,Pro10,Vanilla Wafers,18,36,16056,8028,8028,High Price,April Watkins,Male
2024-04-05,Apr,Michael,Booker,Michael Booker,San Jose,1969-10-13,55,50-70,Credit Card,417,Pro06,Lemon Crisps,7,9,3753,2919,834,Low Price,Travis Doyle,Male
2024-04-29,Apr,Christopher,Caldwell,Christopher Caldwell,Los Angeles,2002-04-26,23,11-30,Mobile Payment,218,Pro01,Butter Crunch,10,11,2398,2180,218,High Price,Tracy Lee,Male
2024-03-30,Mar,Rebecca,Berger,Rebecca Berger,San Diego,2004-02-07,21,11-30,Cash,409,Pro08,Peanut Butter Bites,5,7,2863,2045,818,Low Price,Sara Robertson,Male
2024-07-11,Jul,Tiffany,Moses,Tiffany Moses,New York,1981-12-22,43,31-50,Debit Card,491,Pro09,Shortbread,10,45,22095,4910,17185,High Price,Travis Doyle,Male
2024-03-30,Mar,Jonathan,Martin,Jonathan Martin,Phoenix,1975-02-28,50,31-50,Debit Card,93,Pro04,Cinnamon Swirls,10,14,1302,930,372,High Price,Joseph Hill,Male
2024-07-25,Jul,Michele,Jordan,Michele Jordan,Los Angeles,1953-02-14,72,70above,Mobile Payment,99,Pro03,Choco Delight,3,5,495,297,198,Low Price,Tracy Lee,Male
2024-05-10,May,Kenneth,Huffman,Kenneth Huffman,San Antonio,1972-01-10,53,50-70,Cash,443,Pro08,Peanut Butter Bites,5,7,3101,2215,886,Low Price,Sara Robertson,Male
2024-01-31,Jan,Miranda,Bates,Miranda Bates,Philadelphia,1992-05-01,33,31-50,Mobile Payment,261,Pro10,Vanilla Wafers,18,36,9396,4698,4698,High Price,Travis Doyle,Male
2024-03-01,Mar,Stuart,Blevins,Stuart Blevins,Los Angeles,1990-04-08,35,31-50,Mobile Payment,54,Pro09,Shortbread,10,45,2430,540,1890,High Price,Joseph Hill,Male
2024-05-30,May,Ronald,Grimes,Ronald Grimes,Dallas,2004-01-03,21,11-30,Cash,145,Pro05,Ginger Snaps,14,28,4060,2030,2030,High Price,Joseph Hill,Male
2024-03-21,Mar,Tyler,Alvarez,Tyler Alvarez,San Diego,1961-10-10,63,50-70,Debit Card,303,Pro04,Cinnamon Swirls,10,14,4242,3030,1212,High Price,April Watkins,Male
2024-03-02,Mar,Ashlee,Bennett,Ashlee Bennett,San Antonio,1946-11-07,78,70above,Mobile Payment,175,Pro03,Choco Delight,3,5,875,525,350,Low Price,Travis Doyle,Male
2024-04-21,Apr,Shawn,Sullivan,Shawn Sullivan,San Diego,1962-07-02,63,50-70,Debit Card,247,Pro08,Peanut Butter Bites,5,7,1729,1235,494,Low Price,Tracy Lee,Male
2024-02-24,Feb,Bobby,Dillon,Bobby Dillon,Phoenix,1959-07-26,66,50-70,Mobile Payment,78,Pro04,Cinnamon Swirls,10,14,1092,780,312,High Price,Sara Robertson,Male
2024-06-01,Jun,Ryan,Davis,Ryan Davis,Los Angeles,1984-12-08,40,31-50,Debit Card,290,Pro09,Shortbread,10,45,13050,2900,10150,High Price,Travis Doyle,Male
2024-03-21,Mar,Tiffany,Ortega,Tiffany Ortega,Los Angeles,1974-11-13,50,31-50,Cash,257,Pro07,Oatmeal Cookies,19,23,5911,4883,1028,High Price,Joseph Hill,Male
2024-03-15,Mar,Brenda,Gray,Brenda Gray,San Antonio,1949-11-28,75,70above,Credit Card,300,Pro04,Cinnamon Swirls,10,14,4200,3000,1200,High Price,Tracy Lee,Female
2024-01-02,Jan,Raven,King,Raven King,New York,1986-12-17,38,31-50,Debit Card,106,Pro01,Butter Crunch,10,11,1166,1060,106,High Price,Sara Robertson,Male
2024-06-16,Jun,Melanie,Hoffman,Melanie Hoffman,New York,1966-08-11,59,50-70,Credit Card,253,Pro08,Peanut Butter Bites,5,7,1771,1265,506,Low Price,Travis Doyle,Male
2024-04-29,Apr,Amanda,Brown,Amanda Brown,Phoenix,1976-10-30,48,31-50,Debit Card,58,Pro07,Oatmeal Cookies,19,23,1334,1102,232,High Price,Joseph Hill,Male
2024-03-10,Mar,Walter,Anderson,Walter Anderson,Chicago,1972-10-13,52,50-70,Cash,25,Pro10,Vanilla Wafers,18,36,900,450,450,High Price,Joseph Hill,Male
2024-06-03,Jun,Dan,Jennings,Dan Jennings,San Diego,1991-04-23,34,31-50,Debit Card,366,Pro06,Lemon Crisps,7,9,3294,2562,732,Low Price,April Watkins,Male
2024-06-12,Jun,Jesse,Allison,Jesse Allison,Philadelphia,1963-01-23,62,50-70,Cash,458,Pro03,Choco Delight,3,5,2290,1374,916,Low Price,Travis Doyle,Male
2024-02-25,Feb,Derrick,Allen,Derrick Allen,San Jose,1969-11-25,55,50-70,Cash,89,Pro03,Choco Delight,3,5,445,267,178,Low Price,Tracy Lee,Male
2024-02-27,Feb,James,Leon,James Leon,Dallas,1967-06-01,58,50-70,Mobile Payment,346,Pro07,Oatmeal Cookies,19,23,7958,6574,1384,High Price,Sara Robertson,Male
2024-02-13,Feb,Melanie,Thomas,Melanie Thomas,Dallas,1954-09-10,70,50-70,Cash,31,Pro07,Oatmeal Cookies,19,23,713,589,124,High Price,Travis Doyle,Male
2024-01-02,Jan,Amy,Bell,Amy Bell,New York,1962-01-20,63,50-70,Debit Card,313,Pro10,Vanilla Wafers,18,36,11268,5634,5634,High Price,Joseph Hill,Male
2024-04-12,Apr,Kayla,Johnson,Kayla Johnson,New York,1990-08-21,35,31-50,Mobile Payment,289,Pro04,Cinnamon Swirls,10,14,4046,2890,1156,High Price,Tracy Lee,Male
2024-07-29,Jul,Monica,Smith,Monica Smith,Philadelphia,1987-09-17,37,31-50,Credit Card,177,Pro01,Butter Crunch,10,11,1947,1770,177,High Price,Sara Robertson,Male
2024-05-18,May,Connie,Morgan,Connie Morgan,Phoenix,1962-11-15,62,50-70,Cash,265,Pro03,Choco Delight,3,5,1325,795,530,Low Price,Travis Doyle,Male
2024-07-18,Jul,Jason,Knight,Jason Knight,San Jose,1961-07-14,64,50-70,Credit Card,371,Pro08,Peanut Butter Bites,5,7,2597,1855,742,Low Price,Joseph Hill,Male
2024-02-14,Feb,William,Gross,William Gross,Philadelphia,2001-07-16,24,11-30,Debit Card,234,Pro04,Cinnamon Swirls,10,14,3276,2340,936,High Price,Joseph Hill,Male
2024-04-09,Apr,Ann,Turner,Ann Turner,San Antonio,1970-04-16,55,50-70,Mobile Payment,229,Pro10,Vanilla Wafers,18,36,8244,4122,4122,High Price,April Watkins,Male
2024-01-30,Jan,Kimberly,Miller,Kimberly Miller,San Jose,1960-08-07,65,50-70,Debit Card,275,Pro05,Ginger Snaps,14,28,7700,3850,3850,High Price,Travis Doyle,Male
2024-01-09,Jan,Joseph,West,Joseph West,San Diego,1979-06-02,46,31-50,Cash,113,Pro02,Caramel Biscuits,18,22,2486,2034,452,High Price,Tracy Lee,Male
2024-06-19,Jun,Briana,Clarke,Briana Clarke,San Diego,2002-05-30,23,11-30,Credit Card,35,Pro10,Vanilla Wafers,18,36,1260,630,630,High Price,Sara Robertson,Male
2024-03-05,Mar,Shannon,Barrett,Shannon Barrett,Philadelphia,2005-05-15,20,11-30,Mobile Payment,119,Pro04,Cinnamon Swirls,10,14,1666,1190,476,High Price,Travis Doyle,Male
2024-05-13,May,Danielle,Oconnor,Danielle Oconnor,Houston,1979-10-06,45,31-50,Debit Card,434,Pro06,Lemon Crisps,7,9,3906,3038,868,Low Price,Joseph Hill,Male
2024-03-27,Mar,Ashley,Miller,Ashley Miller,Los Angeles,1968-11-13,56,50-70,Cash,155,Pro03,Choco Delight,3,5,775,465,310,Low Price,Tracy Lee,Male
2024-02-11,Feb,Andre,Fletcher,Andre Fletcher,New York,1975-04-27,50,31-50,Mobile Payment,443,Pro04,Cinnamon Swirls,10,14,6202,4430,1772,High Price,Sara Robertson,Male
2024-07-23,Jul,James,Fleming,James Fleming,Los Angeles,1996-01-06,29,11-30,Credit Card,138,Pro07,Oatmeal Cookies,19,23,3174,2622,552,High Price,Travis Doyle,Male
2024-01-16,Jan,Amanda,Reeves,Amanda Reeves,Houston,1956-11-16,68,50-70,Cash,426,Pro07,Oatmeal Cookies,19,23,9798,8094,1704,High Price,Joseph Hill,Male
2024-05-30,May,Lisa,Peters,Lisa Peters,Los Angeles,1971-09-04,54,50-70,Credit Card,291,Pro04,Cinnamon Swirls,10,14,4074,2910,1164,High Price,Joseph Hill,Male
2024-04-04,Apr,Brenda,Trujillo,Brenda Trujillo,Philadelphia,1964-01-20,61,50-70,Cash,62,Pro05,Ginger Snaps,14,28,1736,868,868,High Price,April Watkins,Female
2024-01-24,Jan,Andrew,Douglas,Andrew Douglas,Dallas,2002-09-27,22,11-30,Debit Card,389,Pro06,Lemon Crisps,7,9,3501,2723,778,Low Price,Travis Doyle,Male
2024-01-17,Jan,Alexis,French,Alexis French,Philadelphia,1967-02-20,58,50-70,Credit Card,402,Pro10,Vanilla Wafers,18,36,14472,7236,7236,High Price,Tracy Lee,Male
